Identifier	Character	Dialogue	Filename	Line Number
start_dac8eb9b		Well, professor Eileen's lecture was interesting, but to be honest, I couldn't concentrate on it very much.	game/script.rpy	58
start_e52c0574		I had a lot of other thoughts on my mind, and they all ended up with a question.	game/script.rpy	60
start_3883d7ce		A question I've been meaning to ask someone.	game/script.rpy	62
start_dbdae398		When we came out of the university, I saw her.	game/script.rpy	67
start_837fb7bb		She was a wonderful person. I've known her ever since we were children, and she's always been a good friend.	game/script.rpy	72
start_d3f9eaff		But... Recently... I think...	game/script.rpy	74
start_fb6e07e6		... that I wanted more.	game/script.rpy	75
start_a6b4c995		More just talking... more than just walking home together when our classes ended.	game/script.rpy	76
rightaway_7eef3f01	s	Oh, hi, do we walk home together?	game/script.rpy	86
rightaway_d0add6a8	m	Yes...	game/script.rpy	87
rightaway_22c67de6		I said and my voice was already shaking.	game/script.rpy	88
rightaway_e8b2766b		We reached the meadows just outside our hometown. Autumn was so beautiful here.	game/script.rpy	93
rightaway_05bcee4a		When we were children, we often played here.	game/script.rpy	95
rightaway_34748f22	m	Hey... ummm...	game/script.rpy	96
rightaway_b17de06f		She turned to me and smiled.	game/script.rpy	100
rightaway_15cc92bb		I'll ask her...	game/script.rpy	101
rightaway_b576c409	m	Ummm... will you...	game/script.rpy	102
rightaway_6c267868	m	Will you be my artist for a visual novel?	game/script.rpy	103
rightaway_79f663b5		Silence.	game/script.rpy	105
rightaway_f84b212e		She is shocked. And then...	game/script.rpy	106
rightaway_9c81ab96	s	Sure, but what is a "visual novel?"	game/script.rpy	107
vn_c4eae434	m	It's a story with pictures and music. And you'll be able to make choices that influence the outcome of the story.	game/script.rpy	115
vn_68b33461	s	So it's like those choose-your-adventure books?	game/script.rpy	117
vn_e2998411	m	Exactly! I plan on making a small romantic story. I figured you could help me... since I know how you like to draw.	game/script.rpy	118
vn_9ab24574	s	Well, I can try. I hope I don't disappoint you.	game/script.rpy	120
vn_43f95882	m	You can't disappoint me, you know that.	game/script.rpy	121
hentai_88dc9e72	m	Why it's a game with lots of sex.	game/script.rpy	126
hentai_613e124a	s	You mean, like a boy's love game? I've always wanted to make one of those. I'll get right on it!	game/script.rpy	127
hentai_a20cefa7		...	game/script.rpy	131
hentai_6accd37f	m	That wasn't what I meant!	game/script.rpy	132
marry_a204cfef		--- years later ---	game/script.rpy	138
marry_681876d0		And so, we became a visual novel creating team. We made games and had a lot of fun making them.	game/script.rpy	142
marry_6cb78139		Well, apart from that Boy's Love game she insisted on making.	game/script.rpy	145
marry_5bbcc877		And one day, she asked me...	game/script.rpy	150
marry_bf690666	s	Hey...	game/script.rpy	151
marry_7a5c1899	m	Yes?	game/script.rpy	152
marry_49e27658	s	Marry me!	game/script.rpy	153
marry_a0850e1a	m	What???	game/script.rpy	154
marry_e63ef94e	s	Well, don't you love me?	game/script.rpy	155
marry_13b26606	m	I do, actually.	game/script.rpy	156
marry_964ec093	s	See? We've been making romantic visual novels, spending time together, helping each other... and when you give love to others, love will come to you.	game/script.rpy	158
marry_a7162851	m	Hmmm, that's a nice thought.	game/script.rpy	161
marry_102e267c	s	I just made that up.	game/script.rpy	162
marry_b1a06575	m	But it's good.	game/script.rpy	163
marry_6ed705eb	s	I know. So, will you marry me?	game/script.rpy	165
marry_4c92fcf4	m	Ummm, of course I will. I've actually been meaning to ask you, but since you brought it up...	game/script.rpy	166
marry_6b75b531	s	I know, but you are so indecisive, that I thought I'd take the initiative. 	game/script.rpy	168
marry_4e15bb8c	m	I guess... It's all about asking the right question... at the right time.	game/script.rpy	170
marry_c9ee318b	s	It is. But now, stop being theoretical, and give me a kiss!	game/script.rpy	172
marry_45fd9e86		And we got married shortly after that. In fact, we made many more visual novels. And together, we lived happily ever after.	game/script.rpy	176
marry_c93dac48		.:. Good Ending.	game/script.rpy	178
later_7da3a85d		And so I decided to ask her later.	game/script.rpy	184
later_9e49bd69		But I was indecisive.	game/script.rpy	185
later_9ea1842b		I couldn't ask her that day, and I couldn't ask her later. I guess I will never know now.	game/script.rpy	186
later_f02d21f0		.:. Bad Ending.	game/script.rpy	188
